Serial Number	Cathode Luminous Sens. (µA/lm)	Anode Luminous Sens. (A/lm)	Anode Dark Current (nA)	Cathode Blue Sens. Index	Supply Voltage 2.105 (V)	Supply Voltage 106 (V)	P/V	T.T.S (ns)	Dark Counts (s-1)
43	105	17.5	2.5	13.48	1300	1770	2.75	2.117	1000
44	110	17.5	8.3	12.9	1270	1750	2.7	2.136	1100
45	119	15.2	3.1	14.44	1360	1890	2.33	1.998	2500
46	124	21.1	1.6	15.62	1300	1760	2.27	2.268	3000
47	153	21.9	1.1	16.37	1330	1840	2.06	2.156	7000
49	136	24.2	0.52	15.72	1280	1740	2.46	2.087	3200
50	104	14.9	0.67	13.2	1330	1830	2.89	2.149	4000
52	96	16.7	0.9	12.7	1290	1750	2.8	2.312	3000
53	146	27.8	1.1	16.69	1260	1720	2.91	2.178	4700
54	116	23.1	0.58	14.76	1250	1710	2.6	2.193	2500
55	144	25.5	1.2	16.26	1280	1750	2.67	2.206	3400
56	129	22.7	0.43	13.91	1280	1750	2.73	2.226	2600
57	117	26.2	1	14.87	1220	1660	2.82	2.214	4200
58	119	25.1	2	14.98	1230	1680	2.82	2.336	2600
60	145	35.2	2.6	16.15	1220	1640	2.83	2.44	4400
61	143	30.2	5.1	16.76	1250	1670	2.83	2.22	6000
63	113	21.4	2.4	14.76	1260	1710	2.8	2.335	3400
64	138	22.2	2.2	16.05	1300	1760	2.38	2.304	5100
67	137	22.5	12	15.4	1300	1750	2.58	2.315	5400
69	123	22.5	2.4	14.98	1270	1720	2.37	2.256	3000
70	124	22.0	2.1	15.51	1280	1730	2.38	2.282	3000
72	126	24.9	1.9	15.51	1250	1690	2.82	2.298	2000
73	131	20.7	2.7	15.19	1310	1780	2.31	2.217	8000
74	133	27.0	4.3	14.87	1250	1690	2.67	2.347	6900
75	101	21.5	0.84	14.12	1250	1670	2.6	2.238	2300
79	127	43.1	4.1	14.5	1140	1540	2.56	2.487	4600
82	127	25.7	4.8	14.6	1250	1700	2.64	2.169	6900
83	125	36.5	3.8	15.1	1170	1570	2.58	2.158	1500
84	143	31.2	2.8	15.4	1230	1670	2.8	2.206	4100
86	116	27.9	1.7	14.8	1210	1630	2.5	2.132	3900
87	128	25.9	3	15.4	1250	1700	3.09	2.082	3700
90	135	19.7	1.9	15.6	1330	1810	2.5	2.086	6700
92	132	26.7	6.7	15.9	1250	1700	2.57	2.283	5500
93	157	33.3	5.5	16.3	1240	1680	2.71	2.246	7100
94	122	20.5	1.4	14.4	1300	1770	3	2.053	1700
95	142	31.1	3.8	15.3	1230	1680	3.42	2.056	4200
96	151	36.6	19	15.8	1210	1630	2.77	2.383	5000
97	135	21.1	0.57	15.4	1310	1800	3.4	2.137	2400
98	124	29.5	1.8	15.4	1210	1650	2.42	2.12	2600
99	156	30.7	1.8	15.9	1240	1680	3.25	2.145	4700
100	133	24.4	1.6	15.2	1270	1730	2.78	2.138	3800
101	123	33.2	2.3	15.1	1190	1600	2.8	2.255	2400
102	152	46.5	2.9	16	1160	1570	2.64	2.264	5800
103	133	26.4	2.2	15.4	1250	1700	2.55	2.201	3900
104	119	20.3	1	14.6	1300	1770	2.78	1.954	2900
105	157	37.8	3.6	15.5	1210	1640	2.85	2.197	3500
106	97	21.9	7.4	13.6	1230	1670	2.67	2.03	3000
107	98	15.4	0.56	13.7	1310	1800	3	2.174	2800
108	116	20.2	0.84	14.6	1290	1760	2.54	2.075	2000
109	118	17.3	0.34	14.8	1320	1820	2.36	2.119	3500
110	119	15.2	0.63	14.9	1350	1870	2.69	2.1	2200
111	138	26.2	1.5	15.7	1270	1720	2.31	2.127	5900
113	118	25.4	1.2	15.2	1230	1680	2.67	1.981	3000
114	111	18	1.2	14.7	1300	1790	2.18	1.917	900
115	102	14.3	0.35	14.3	1330	1830	2.7	2.012	1600
116	119	18.5	1.4	15.2	1310	1800	2.64	2.135	3200
117	125	16.1	1.4	15.3	1350	1880	2.6	2.19	1800
118	98	12.9	9.5	13.6	1300	1790	2.4	1.993	2800
119	95	15.7	0.61	13.9	1300	1790	2.4	1.993	2800
121	125	24.5	0.58	14.4	1250	1720	2.77	2.019	3300
122	123	22	19	14	1280	1730	2.77	2.24	5300
123	142	29.2	1.4	15.9	1250	1690	2.54	2.268	5400
124	102	15.7	0.75	14	1320	1790	2.7	2.056	3000
125	122	22.4	4.8	15.5	1270	1730	2.45	2.413	5600
126	123	21.5	5.1	15.2	1290	1750	2.91	2.221	1800
127	120	26.5	3.9	15.2	1230	1670	2.73	2.285	4400
128	135	35.1	12	15.7	1190	1610	3	2.271	3200
129	146	27.6	5	15.9	1260	1720	2.64	2.032	3000
130	89	13.7	0.38	13.8	1310	1800	2.67	2.102	2700
131	123	27.6	1.2	15.1	1230	1670	2.8	2.218	5100
132	118	20.9	1.6	14.7	1280	1750	2.36	2.075	2400
133	85	14	3.3	13.4	1300	1790	2.44	2.031	1500
134	96	17.8	0.44	14	1270	1720	2.44	2.149	4400
